,A,B,BFC,COLOR,COMP.UNIT,CONST VP,CV0,CVT,D0,DENERR,FROM FILE,K0,KT,MXWT,Ordering,P0,PD,PM0,PMODERR,PPMULT,PTMULT,S0,SPC,STC,T0,T1,T2,TM0,TTMULT,VERR,VP1,VP2
,n/a,n/a,n/a,n/a,n/a,n/a,KJ/KG-DC,KJ/KG-DC2,KG/M3,KG/M3,n/a,KJ/HR-M-DC,KJ/HR-M-DC2,n/a,n/a,KPAA,KPA,KPA,n/a,n/a,n/a,PA,PA/KPA,PA/DC,DC,DC,DC,DC,n/a,n/a,KPAA,KPAA
PXB5,9.55446,3.62253,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,152,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
PXB6,9.56336,3.62617,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,153,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCB1,9.75658,3.70521,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,154,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCB2,9.76575,3.70897,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,155,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCB3,9.75769,3.70567,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,156,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCB5,9.76557,3.70889,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,157,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCB6,9.77457,3.71258,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,158,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCM1,9.31599,3.52496,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,159,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCM2,9.31946,3.52638,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,160,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCM3,9.3095,3.52231,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,161,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCM5,9.33884,3.53431,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,162,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCM6,9.33314,3.53198,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,163,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCS1,7.91083,2.95009,,PURPLE,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,164,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCS2,7.92046,2.95402,,PURPLE,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,165,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCS3,7.89445,2.94338,,PURPLE,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,166,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCS5,7.89988,2.9456,,PURPLE,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,167,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SCS6,7.89638,2.94417,,PURPLE,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,168,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SDB1,9.36694,3.54581,,BLACK,FR,No,1.51344,0.00428,901,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,169,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
