,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.537,14200
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,8.653,20000
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,9,98600
BALL_NPS24_PS_CAN_9MIN_OPEN,0,0
BALL_NPS24_PS_CAN_9MIN_OPEN,1.641,325
BALL_NPS24_PS_CAN_9MIN_OPEN,7.222,520
BALL_NPS24_PS_CAN_9MIN_OPEN,7.38,650
BALL_NPS24_PS_CAN_9MIN_OPEN,7.495,1000
BALL_NPS24_PS_CAN_9MIN_OPEN,7.611,1500
BALL_NPS24_PS_CAN_9MIN_OPEN,7.727,2000
BALL_NPS24_PS_CAN_9MIN_OPEN,7.843,2750
BALL_NPS24_PS_CAN_9MIN_OPEN,7.958,3500
BALL_NPS24_PS_CAN_9MIN_OPEN,8.074,4750
BALL_NPS24_PS_CAN_9MIN_OPEN,8.19,6000
BALL_NPS24_PS_CAN_9MIN_OPEN,8.306,8000
BALL_NPS24_PS_CAN_9MIN_OPEN,8.421,10800
BALL_NPS24_PS_CAN_9MIN_OPEN,8.537,14200
BALL_NPS24_PS_CAN_9MIN_OPEN,8.653,20000
BALL_NPS24_PS_CAN_9MIN_OPEN,9,110500
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,8.611,325
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.333,520
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.38,650
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.495,1000
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.611,1500
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.727,2000
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.843,2750
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,10.958,3500
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.074,4750
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.19,6000
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.306,8000
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.421,10800
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.537,14200
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,11.653,20000
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,12,98600
BALL_NPS24_PS_US_12MIN_OPEN,0,0
BALL_NPS24_PS_US_12MIN_OPEN,8.611,325
BALL_NPS24_PS_US_12MIN_OPEN,10.333,520
BALL_NPS24_PS_US_12MIN_OPEN,10.38,650
BALL_NPS24_PS_US_12MIN_OPEN,10.495,1000
