,Flow,Head
,AM3/HR,M
HSKTT_HASKETT_PUMP_HEAD,1603.4,300.7
HSKTT_HASKETT_PUMP_HEAD,3227.2,295.9
HSKTT_HASKETT_PUMP_HEAD,3926.1,279.2
HSKTT_HASKETT_PUMP_HEAD,4390.4,264.7
HSKTT_HASKETT_PUMP_HEAD,4956.6,245
HSKTT_HASKETT_PUMP_HEAD,8186.2,0
KENDL_KENDAL_PUMP_HEAD,0,247
KENDL_KENDAL_PUMP_HEAD,34.9,247.3
KENDL_KENDAL_PUMP_HEAD,2240.6,244
KENDL_KENDAL_PUMP_HEAD,3354.2,222
KENDL_KENDAL_PUMP_HEAD,4056.9,206.6
KENDL_KENDAL_PUMP_HEAD,4401,197.3
KENDL_KENDAL_PUMP_HEAD,4745.4,184.5
KENDL_KENDAL_PUMP_HEAD,9420.1,0
LBNTL_LIEBENTHAL_PUMP_HEAD,0,220.7
LBNTL_LIEBENTHAL_PUMP_HEAD,985.4,231.6
LBNTL_LIEBENTHAL_PUMP_HEAD,1555.5,233
LBNTL_LIEBENTHAL_PUMP_HEAD,2796.8,232.6
LBNTL_LIEBENTHAL_PUMP_HEAD,3932.5,212.1
LBNTL_LIEBENTHAL_PUMP_HEAD,4367.5,198.7
LBNTL_LIEBENTHAL_PUMP_HEAD,4983.6,176.2
LBNTL_LIEBENTHAL_PUMP_HEAD,7417,0
LKSND_LAKESEND_PUMP_HEAD,0,278.5
LKSND_LAKESEND_PUMP_HEAD,2133.2,277.7
LKSND_LAKESEND_PUMP_HEAD,3432,251.5
LKSND_LAKESEND_PUMP_HEAD,4458.8,222.3
LKSND_LAKESEND_PUMP_HEAD,4803.9,210
LKSND_LAKESEND_PUMP_HEAD,10765.4,0
LUDDE_LUDDEN_PUMP_HEAD,0,281.6
LUDDE_LUDDEN_PUMP_HEAD,936.1,298.6
LUDDE_LUDDEN_PUMP_HEAD,1553.6,303.2
LUDDE_LUDDEN_PUMP_HEAD,3249.6,297.2
LUDDE_LUDDEN_PUMP_HEAD,3929.9,282.3
LUDDE_LUDDEN_PUMP_HEAD,4388.5,267.8
LUDDE_LUDDEN_PUMP_HEAD,4952.2,249.2
LUDDE_LUDDEN_PUMP_HEAD,8458.7,0
LUVER_LUVERNE_PUMP_HEAD,0,287.3
