,Flow,Power
,AM3/HR,KW
LBNTL_LIEBENTHAL_PUMP_POWER,2796.8,2116.3
LBNTL_LIEBENTHAL_PUMP_POWER,3932.5,2574.7
LBNTL_LIEBENTHAL_PUMP_POWER,4367.5,2730.5
LBNTL_LIEBENTHAL_PUMP_POWER,4983.6,2913.7
LKSND_LAKESEND_PUMP_POWER,0,1201.4
LKSND_LAKESEND_PUMP_POWER,2133.2,2159.1
LKSND_LAKESEND_PUMP_POWER,3432,2707.1
LKSND_LAKESEND_PUMP_POWER,4458.8,3061.7
LKSND_LAKESEND_PUMP_POWER,4803.9,3140.7
LUDDE_LUDDEN_PUMP_POWER,0,962.1
LUDDE_LUDDEN_PUMP_POWER,936.1,1628.9
LUDDE_LUDDEN_PUMP_POWER,1553.6,1975.5
LUDDE_LUDDEN_PUMP_POWER,3249.6,3030.3
LUDDE_LUDDEN_PUMP_POWER,3929.9,3416.8
LUDDE_LUDDEN_PUMP_POWER,4388.5,3631.7
LUDDE_LUDDEN_PUMP_POWER,4952.2,3904.5
LUVER_LUVERNE_PUMP_POWER,0,1005.1
LUVER_LUVERNE_PUMP_POWER,1007.2,1715.4
LUVER_LUVERNE_PUMP_POWER,1582.9,2050.1
LUVER_LUVERNE_PUMP_POWER,3289.3,3128.5
LUVER_LUVERNE_PUMP_POWER,3932.2,3476.8
LUVER_LUVERNE_PUMP_POWER,4373.8,3710.7
LUVER_LUVERNE_PUMP_POWER,4914.8,3989.4
MDLTP_MIDDLETON_PUMP_POWER,0,900.3
MDLTP_MIDDLETON_PUMP_POWER,903.9,1418.1
MDLTP_MIDDLETON_PUMP_POWER,1558.8,1687.6
MDLTP_MIDDLETON_PUMP_POWER,2730.4,2315.7
MDLTP_MIDDLETON_PUMP_POWER,3929.8,2856.7
MDLTP_MIDDLETON_PUMP_POWER,4377.4,3038.1
MDLTP_MIDDLETON_PUMP_POWER,4778.1,3178.8
MNTOR_MONITOR_PUMP_POWER,0,865.5
MNTOR_MONITOR_PUMP_POWER,951.5,1414.8
MNTOR_MONITOR_PUMP_POWER,1554.5,1680
MNTOR_MONITOR_PUMP_POWER,2748,2297.1
MNTOR_MONITOR_PUMP_POWER,3901.3,2804.8
MNTOR_MONITOR_PUMP_POWER,4389.3,3000.4
MNTOR_MONITOR_PUMP_POWER,4790.6,3131.2
MOSMI_MOOSOMIN_PUMP_POWER,0,750.4
MOSMI_MOOSOMIN_PUMP_POWER,924.3,1228.9
MOSMI_MOOSOMIN_PUMP_POWER,1570.2,1502.3
MOSMI_MOOSOMIN_PUMP_POWER,2711.2,2015.8
MOSMI_MOOSOMIN_PUMP_POWER,3895.7,2484.2
MOSMI_MOOSOMIN_PUMP_POWER,4381.8,2646.9
MOSMI_MOOSOMIN_PUMP_POWER,4792.4,2767.2
NAGRA_NIAGRA_PUMP_POWER,0,902.8
NAGRA_NIAGRA_PUMP_POWER,927.4,1416
NAGRA_NIAGRA_PUMP_POWER,1560.3,1688.3
NAGRA_NIAGRA_PUMP_POWER,2762.6,2298.9
NAGRA_NIAGRA_PUMP_POWER,3888.1,2794.4
NAGRA_NIAGRA_PUMP_POWER,4335.8,2977.1
NAGRA_NIAGRA_PUMP_POWER,5003.5,3226.6
OYENP_OYEN_PUMP_POWER,0,1243.6
OYENP_OYEN_PUMP_POWER,2252.3,2364.8
OYENP_OYEN_PUMP_POWER,3331,2846.3
OYENP_OYEN_PUMP_POWER,4460.9,3223.9
OYENP_OYEN_PUMP_POWER,5002.2,3373.2
PEROP_PIERRON_PUMP_POWER,0,913.3
PEROP_PIERRON_PUMP_POWER,904.7,1537
PEROP_PIERRON_PUMP_POWER,1599.8,1900.8
PEROP_PIERRON_PUMP_POWER,3231.1,2882.1
PEROP_PIERRON_PUMP_POWER,3916.7,3229.6
PEROP_PIERRON_PUMP_POWER,4356.6,3446.3
PEROP_PIERRON_PUMP_POWER,4996.2,3715.7
PNCCP_PONCA_PUMP_POWER,0,1554.5
PNCCP_PONCA_PUMP_POWER,1434.7,2415.3
PNCCP_PONCA_PUMP_POWER,2485.9,2870.5
PNCCP_PONCA_PUMP_POWER,3979.4,3675.5
PNCCP_PONCA_PUMP_POWER,5332.6,4201
PNCCP_PONCA_PUMP_POWER,6614,4682
PNCCP_PONCA_PUMP_POWER,8050.2,5101.8
PNCCP_PONCA_PUMP_POWER,12599.6,0
PRTLP_PORTAGE_PUMP_POWER,0,796.3
PRTLP_PORTAGE_PUMP_POWER,913.4,1267.9
PRTLP_PORTAGE_PUMP_POWER,1555.8,1531.5
PRTLP_PORTAGE_PUMP_POWER,2738.6,2077.7
PRTLP_PORTAGE_PUMP_POWER,3898.4,2536.4
PRTLP_PORTAGE_PUMP_POWER,4368.5,2702.6
PRTLP_PORTAGE_PUMP_POWER,4795.4,2836.3
REGNA_REGINA_PUMP_POWER,0,759.4
REGNA_REGINA_PUMP_POWER,922.2,1247.7
REGNA_REGINA_PUMP_POWER,1545.1,1501.6
REGNA_REGINA_PUMP_POWER,2712.3,2053.4
REGNA_REGINA_PUMP_POWER,3920.8,2517.2
REGNA_REGINA_PUMP_POWER,4377.5,2672.3
REGNA_REGINA_PUMP_POWER,4568.9,2726.3
ROCKP_ROCK_PUMP_POWER,0,1524.4
ROCKP_ROCK_PUMP_POWER,1430,2394.8
ROCKP_ROCK_PUMP_POWER,2586.9,2935
ROCKP_ROCK_PUMP_POWER,3863.8,3646.1
ROCKP_ROCK_PUMP_POWER,5332.3,4213.8
ROCKP_ROCK_PUMP_POWER,6637.9,4724.3
ROCKP_ROCK_PUMP_POWER,8041.1,5126
ROCKP_ROCK_PUMP_POWER,12402,6000
ROSWL_ROSWELL_PUMP_POWER,0,988.3
ROSWL_ROSWELL_PUMP_POWER,931.3,1671.7
ROSWL_ROSWELL_PUMP_POWER,1612.7,2044.7
ROSWL_ROSWELL_PUMP_POWER,3250.8,3125.8
ROSWL_ROSWELL_PUMP_POWER,3895.8,3448.7
ROSWL_ROSWELL_PUMP_POWER,4386.3,3710.8
ROSWL_ROSWELL_PUMP_POWER,4950.6,3989.2
RPDCT_RAPID_CITY_PUMP_POWER,0,718.4
RPDCT_RAPID_CITY_PUMP_POWER,923.3,1227.5
RPDCT_RAPID_CITY_PUMP_POWER,1582.2,1501.4
RPDCT_RAPID_CITY_PUMP_POWER,2756.8,2062.1
RPDCT_RAPID_CITY_PUMP_POWER,3893.2,2483.2
RPDCT_RAPID_CITY_PUMP_POWER,4376.1,2640.3
RPDCT_RAPID_CITY_PUMP_POWER,4780,2756.7
SLBRY_SALISBURY_PUMP_POWER,0,1017
SLBRY_SALISBURY_PUMP_POWER,906.9,1672.5
SLBRY_SALISBURY_PUMP_POWER,1603,2062.7
SLBRY_SALISBURY_PUMP_POWER,3247.2,3126.8
SLBRY_SALISBURY_PUMP_POWER,3913.2,3502
SLBRY_SALISBURY_PUMP_POWER,4397.6,3761.7
SLBRY_SALISBURY_PUMP_POWER,5015.1,4062.1
SNECA_SENECA_PUMP_POWER,0,1201.3
SNECA_SENECA_PUMP_POWER,2222.1,2521.5
SNECA_SENECA_PUMP_POWER,3224.5,3156.7
SNECA_SENECA_PUMP_POWER,4383,3736.8
SNECA_SENECA_PUMP_POWER,4954.8,3908.6
SNTPL_ST_PAUL_PUMP_POWER,0,877.3
SNTPL_ST_PAUL_PUMP_POWER,954.7,1566.4
SNTPL_ST_PAUL_PUMP_POWER,1602.8,1948.6
SNTPL_ST_PAUL_PUMP_POWER,3265.8,2992.1
SNTPL_ST_PAUL_PUMP_POWER,3919.5,3370.7
SNTPL_ST_PAUL_PUMP_POWER,4392.8,3595.8
SNTPL_ST_PAUL_PUMP_POWER,5004.9,3898.6
STLCT_STEELE_CITY_PUMP_POWER,0,920.8
STLCT_STEELE_CITY_PUMP_POWER,885,1576.9
STLCT_STEELE_CITY_PUMP_POWER,1556.5,1995.1
STLCT_STEELE_CITY_PUMP_POWER,3201.1,3067
STLCT_STEELE_CITY_PUMP_POWER,3909.1,3476.8
STLCT_STEELE_CITY_PUMP_POWER,4369.7,3727.4
STLCT_STEELE_CITY_PUMP_POWER,4997,4043
STNTO_STANTON_PUMP_POWER,0,1017.6
STNTO_STANTON_PUMP_POWER,925.6,1679.8
STNTO_STANTON_PUMP_POWER,1556.3,2027
STNTO_STANTON_PUMP_POWER,3224.4,3099.4
STNTO_STANTON_PUMP_POWER,3909.7,3475.6
STNTO_STANTON_PUMP_POWER,4366,3719.5
STNTO_STANTON_PUMP_POWER,5065.2,4067.6
STWTV_STEWERT_VALLEY_PUMP_POWER,0,1337.8
STWTV_STEWERT_VALLEY_PUMP_POWER,2171.9,1979
STWTV_STEWERT_VALLEY_PUMP_POWER,3401.8,2386.8
STWTV_STEWERT_VALLEY_PUMP_POWER,4136.4,2613.3
STWTV_STEWERT_VALLEY_PUMP_POWER,4391.1,2677
STWTV_STEWERT_VALLEY_PUMP_POWER,4910,2796.7
SVRNC_SEVERANCE_PUMP_POWER,0,1022.8
SVRNC_SEVERANCE_PUMP_POWER,875.3,1630.9
SVRNC_SEVERANCE_PUMP_POWER,1555.9,1998.1
SVRNC_SEVERANCE_PUMP_POWER,3236.8,3040.4
SVRNC_SEVERANCE_PUMP_POWER,3926.9,3424.5
SVRNC_SEVERANCE_PUMP_POWER,4380.1,3653.1
SVRNC_SEVERANCE_PUMP_POWER,4863.5,3873.7
TINAP_TINA_PUMP_POWER,0,995.9
TINAP_TINA_PUMP_POWER,919.2,1649.1
TINAP_TINA_PUMP_POWER,1578.7,2001.3
